timestamp,forecasted_power
2017-10-31 12:55:00+00:00,29171.39413798898
2017-10-31 13:00:00+00:00,29153.798209275385
2017-10-31 13:05:00+00:00,29305.673639595265
2017-10-31 13:10:00+00:00,29214.287365361743
2017-10-31 13:15:00+00:00,29388.11035440737
2017-10-31 13:20:00+00:00,29346.937816183767
2017-10-31 13:25:00+00:00,29368.24935696426
2017-10-31 13:30:00+00:00,29287.89341216266
2017-10-31 13:35:00+00:00,29420.36739951621
2017-10-31 13:40:00+00:00,30421.6466693704
2017-10-31 13:45:00+00:00,31821.921764652714
2017-10-31 13:50:00+00:00,32428.187219663716
2017-10-31 13:55:00+00:00,32757.466007858693
2017-10-31 14:00:00+00:00,32808.68810654561
2017-10-31 14:05:00+00:00,32477.75505849945
2017-10-31 14:10:00+00:00,32011.948733122004
2017-10-31 14:15:00+00:00,31966.46953241104
2017-10-31 14:20:00+00:00,31847.677936462525
2017-10-31 14:25:00+00:00,31976.40190477946
2017-10-31 14:30:00+00:00,31995.735896458613
2017-10-31 14:35:00+00:00,31708.21115834184
2017-10-31 14:40:00+00:00,30557.75450965487
2017-10-31 14:45:00+00:00,29228.101934036604
2017-10-31 14:50:00+00:00,28602.962382486297
2017-10-31 14:55:00+00:00,28406.203230495787
2017-10-31 15:00:00+00:00,28262.473735423322
2017-10-31 15:05:00+00:00,30958.468128596094
2017-10-31 15:10:00+00:00,30607.87422265842
2017-10-31 15:15:00+00:00,30463.662519015255
2017-10-31 15:20:00+00:00,30355.055556435942
2017-10-31 15:25:00+00:00,30341.955869206246
2017-10-31 15:30:00+00:00,30085.08774111165
2017-10-31 15:35:00+00:00,30084.27372671412
2017-10-31 15:40:00+00:00,30927.118780228084
2017-10-31 15:45:00+00:00,32511.389063723298
2017-10-31 15:50:00+00:00,33021.14262800142
2017-10-31 15:55:00+00:00,33213.74603124305
2017-10-31 16:00:00+00:00,33119.76969571452
2017-10-31 16:05:00+00:00,32765.644306097434
2017-10-31 16:10:00+00:00,32105.3122157938
2017-10-31 16:15:00+00:00,31819.163075139768
2017-10-31 16:20:00+00:00,31780.78431472497
2017-10-31 16:25:00+00:00,32042.811103636377
2017-10-31 16:30:00+00:00,32242.841983718063
2017-10-31 16:35:00+00:00,32205.473289295594
2017-10-31 16:40:00+00:00,31392.98438097911
2017-10-31 16:45:00+00:00,30272.427388980435
2017-10-31 16:50:00+00:00,29679.934941750173
2017-10-31 16:55:00+00:00,29578.586316798377
2017-10-31 17:00:00+00:00,29534.95964184333
2017-10-31 17:05:00+00:00,29623.37874076717
2017-10-31 17:10:00+00:00,29552.32085370407
2017-10-31 17:15:00+00:00,29558.964124164922
2017-10-31 17:20:00+00:00,29560.388606777713
2017-10-31 17:25:00+00:00,29602.06174937761
2017-10-31 17:30:00+00:00,29519.099221122284
2017-10-31 17:35:00+00:00,29646.470927396535
2017-10-31 17:40:00+00:00,30547.923825211816
